plot_project,alti,slope,X,Y,northness,eastness,soil_veg,soil_Rtot,soil_blocks,HG,LVM,LVU,LRF,HG_count,LVM_count,LVU_count,LRF_count,hcan,hcan_sd,hveg,nPFG,hill2,Ldensity,isForest,isGrassland,Moyenne,Médiane,Écart-type,Min,Max,Quantile 5%,Quantile 95%,Quantile 25%,Quantile 75%,Moyenne_all,Médiane_all,Écart-type_all,Min_all,Max_all,Quantile 5%_all,Quantile 95%_all,Quantile 25%_all,Quantile 75%_all
LORIAZ_39,1954,3.19960130025101,6.90618,46.03747,-0.947291547009157,-0.320372790612746,0.8875,0.1,0.1,0.462121212121212,0.0227272727272727,0.0833333333333333,0.0075757575757575,61,3,11,1,7.05,4.37744506721166,7.62162162162162,6,2.53329456237278,16,0,1,0.2977379300828261,0.12234272040768701,0.48530433707728593,0.0,2.0399999999999636,0.0,0.9095000000001286,0.0,0.3840358133028303,0.2566901814072662,0.12096087422673918,0.3841342122465794,0.0,2.0399999999999636,0.0,1.2140000000000326,0.0,0.3462491707400659
LORIAZ_20,2239,21.2803477106484,6.91599,46.04535,-0.409861623111023,-0.91214771276411,0.85,0.075,0.075,0.178294573643411,0.0852713178294574,0.27906976744186,0.0,23,11,36,0,6.9625,5.1224098116493,7.23376623376623,10,6.38319907940161,90,0,0,0.17945605521019842,0.1332702739900924,0.18656109082360778,0.0,0.812025316465224,0.0,0.48953634156903286,0.11364961147069153,0.16226880875910865,0.17761289798567303,0.14195924433533946,0.185701768998186,0.0,1.415752413433438,0.0,0.46062816188139094,0.11065789458928066,0.18632115272407646
LORIAZ_CAMTRAP_2300,2310,32.2800474067903,6.91251,46.04492,0.598122057885097,-0.801405018621232,0.8625,0.075,0.075,0.153409090909091,0.113636363636364,0.119318181818182,0.0113636363636364,27,20,21,2,10.5625,5.68106726913665,11.5753424657534,10,6.33456032719836,138,0,0,0.4258942592765834,0.35272754337552215,0.2640018705386313,0.0,1.0020689660632343,0.0,0.8460909871828108,0.2743873072381575,0.5785986729025581,0.5132854600503788,0.4043568025604145,0.408938378214965,0.0,1.9600000000000364,0.0,1.597875000153999,0.30585521214140954,0.5991172562911515
LORIAZ_26,2171,22.7515326033131,6.91198,46.04262,-0.717953259854438,-0.696091313452758,0.925,0.0125,0.0125,0.458333333333333,0.0119047619047619,0.172619047619048,0.0059523809523809,77,2,29,1,7.8125,3.61814607398018,7.8125,6,2.84516129032258,35,0,0,0.21488455647486263,0.10371208865240078,0.3729814736729546,0.0,1.680000000000291,0.0,0.5940673911484518,0.05710121813319802,0.20818582622621307,0.18314945419705964,0.10701897868511878,0.2757447003143643,0.0,1.680000000000291,0.0,0.6817199985210891,0.035999999999830834,0.18977518369842983
LORIAZ_72,2021,12.0527386230409,6.90713,46.03149,-0.749927827310319,-0.661519654904996,0.85,0.0375,0.0375,0.114285714285714,0.0742857142857143,0.257142857142857,0.0342857142857143,20,13,45,6,15.55,9.27894035853314,16.1558441558442,9,6.60733549083064,119,0,0,0.419965751123857,0.18609162353095599,0.689179230195208,0.12684285751697644,2.849999999999909,0.13405100357530272,1.9475000000000826,0.15697317037563607,0.2810526317391009,0.3158779497961495,0.17654839695717328,0.512085626519618,0.0,2.849999999999909,0.11941749855037642,1.0355000000000105,0.15274456522695345,0.23139719197371278
LORIAZ_70,2060,35.8329252928275,6.90296,46.03167,-0.997934824764014,0.0642346131242019,0.6625,0.0,0.0,0.21455938697318,0.168582375478927,0.0574712643678161,0.260536398467433,56,44,15,68,42.6375,16.6279037627809,42.6375,6,5.03072151244369,149,0,0,0.33802827718463957,0.28988486242678846,0.12268758603422311,0.19533333338449665,0.6148672566951063,0.20520459759884488,0.568760029508212,0.24811827968846956,0.4285989932557186,0.3338918018585491,0.30383723336467483,0.10972024056092475,0.17631163701071273,0.6982563343076436,0.20520459759884488,0.5669227332232367,0.25595847039039654,0.37572750220022044
LORIAZ_71,2038,2.05277510153552,6.90478,46.03145,-0.556890820812749,-0.830585705207176,0.5875,0.0,0.0,0.241071428571429,0.0714285714285714,0.245535714285714,0.205357142857143,54,16,55,46,22.475,11.2632200805222,22.475,8,5.23320817688778,137,0,0,0.18095976159302155,0.17577599982928405,0.05576421605702842,0.09613138699819501,0.31999999999993634,0.11099348528257451,0.2718022604994076,0.14117152172832448,0.21049024925207505,0.19310983680156368,0.18120275360934102,0.06215551535138223,0.09613138699819501,0.5299999999999727,0.12193832093377069,0.3068766573192874,0.154357923445275,0.21132390962122827
LORIAZ_45,1992,16.9702965394032,6.90274,46.03577,0.030103814886118,-0.999546777459316,0.55,0.4375,0.2875,0.35625,0.2,0.18125,0.025,57,32,29,4,14.7125,9.6156435700281,17.3088235294118,5,3.89412838454518,65,0,0,0.05893666921799649,0.0,0.0960743559372743,0.0,0.29399999985616887,0.0,0.2822060975663931,0.0,0.126711285801548,0.052402432112455696,0.0,0.09027388550768303,0.0,0.3014893617485086,0.0,0.24399704733657465,0.0,0.126711285801548
LORIAZ_55,2041,42.9015202295294,6.90297,46.0323,0.620568579535686,0.784152177892187,0.4875,0.1,0.1,0.219512195121951,0.278048780487805,0.0341463414634146,0.268292682926829,45,57,7,55,35.6875,17.1623622271292,37.5657894736842,6,4.25655829028664,121,0,0,0.33434446057788136,0.26505523194180114,0.1964390558041116,0.13009584677911334,0.7400000000000091,0.14900479233904207,0.6639999999998623,0.17833967399923267,0.4843059875636868,0.3286081799286808,0.25936242122963904,0.1850792420835193,0.11635944700765322,0.8199999999999363,0.13810548305920065,0.6599999999998658,0.1895238094408569,0.4800000000000182
LORIAZ_56_BIS,1965,14.9209652022532,6.90564,46.03312,-0.259183653566161,0.965828055983101,0.3625,0.2125,0.2125,0.322368421052632,0.144736842105263,0.210526315789474,0.0526315789473684,49,22,32,8,21.5875,15.2503942675741,24.3239436619718,8,4.59689614007163,65,0,0,2.8316206999707108,0.6299999999999955,3.93699530636788,0.16304347799996322,13.595846560966038,0.16448128767364095,9.923125417322197,0.2548022472209368,4.592972835047362,1.7421331843802887,0.42000000000007276,2.870157863602452,0.0,13.595846560966038,0.15489130409996507,8.004777510331348,0.2548205648383828,1.0499999999999545
